pkey,created_on,last_updated_on,version,category,competition_id,country,end_date,match_format,name,no_of_matches,no_of_rounds,no_of_teams,season,short_name,src_id,start_date
111,"2021-02-15 01:10:55","2021-02-15 01:10:55",1,international,MISC,int,2018-11-09,mixed,"New Zealand A tour of United Arab Emirates",8,3,2,2018/19,nzatouae-1819,111597,2018-10-12
112,"2021-02-15 01:11:01","2021-02-15 01:11:01",1,international,MISC,int,2019-12-09,t20i,"South Asian Games Men's Cricket Competition",12,0,6,2019,sagmcc-201920,113952,2019-12-03
113,"2021-02-15 01:11:42","2021-02-15 01:11:42",1,domestic,AfricaT20,NULL,2017-09-25,t20,"Africa T20 Cup",27,0,16,2017/18,atc-1718,108586,2017-08-25
114,"2021-02-15 01:13:00","2021-02-15 01:13:00",1,domestic,AndhraT20,in,2020-11-10,t20,"Andhra T20 League",33,1,7,2020,ATL20,116888,2020-10-22
115,"2021-02-15 01:14:31","2021-02-15 01:14:31",1,domestic,BangT20,bd,2020-12-18,t20,"Bangabandhu T20 Cup",24,2,6,2020,BBT20,117030,2020-11-24
116,"2021-02-15 01:15:20","2021-02-15 01:15:20",1,domestic,BengalT20,in,2020-12-09,t20,"Bengal T20",33,2,6,2020,BET20,117050,2020-11-24
117,"2021-02-15 01:16:53","2021-02-15 01:16:53",1,domestic,DhakaT20,bd,2019-03-03,t20,"Dhaka Twenty20 Cricket League",15,9,13,2018/19,dpdtcl-1819,112554,2019-02-25
118,"2021-02-15 01:17:44","2021-02-15 01:17:44",1,domestic,JharkT20,in,2020-09-30,t20,"Jharkhand T20 League",33,0,6,2020,JTL20,116731,2020-09-15
119,"2021-02-15 01:19:15","2021-02-15 01:19:15",1,domestic,KPL,in,2018-09-06,t20,"Karnataka Premier League",24,4,8,2018,kpl-18,111492,2018-08-15
120,"2021-02-15 01:20:23","2021-02-15 01:20:23",1,domestic,KPL,in,2019-09-01,t20,"Karnataka Premier League",25,5,7,2019,kpl-2019,113514,2019-08-16
121,"2021-02-15 01:21:22","2021-02-15 01:21:22",1,domestic,OdishaT20,in,2021-01-14,t20,"Odisha T20",34,1,7,2020,T20,117214,2020-12-27
122,"2021-02-15 01:22:55","2021-02-15 01:22:55",1,domestic,PondyT20,in,2020-11-27,t20,"Siechem Pondicherry T20",36,1,6,2020,SPT20,116986,2020-11-11
123,"2021-02-15 01:24:17","2021-02-15 01:24:17",1,domestic,SaurashtraPL,in,2019-05-22,t20,"Saurashtra Premier League",11,2,6,2019,SPL19,113045,2019-05-14
124,"2021-02-15 01:24:17","2021-02-15 01:24:17",1,domestic,ShpageezaCL,af,2019-10-18,t20,"Shpageeza Cricket League",19,0,6,2019,scl-201920,113727,2019-10-07
125,"2021-02-15 01:25:14","2021-02-15 01:25:14",1,domestic,ShpageezaCL,af,2020-09-16,t20,"Shpageeza Cricket League",19,1,7,2020,scl-2020,116632,2020-09-06
126,"2021-02-15 01:26:14","2021-02-15 01:26:14",1,domestic,T20Mumbai,in,2019-05-26,t20,"T20 Mumbai",23,3,8,2019,TM19,113021,2019-05-14
127,"2021-02-15 01:26:15","2021-02-15 01:26:15",1,domestic,TNPL,in,2018-08-12,t20,"Tamil Nadu Premier League",32,5,9,2018,tamil-nadu-premier-league-2018,111328,2018-07-11
128,"2021-02-15 01:27:36","2021-02-15 01:27:36",1,domestic,TNPL,in,2019-08-18,t20,"Tamil Nadu Premier League",32,5,8,2019,tnpl-2019,113333,2019-07-19
129,"2021-02-15 01:28:47","2021-02-15 01:28:47",1,domestic,SLSuper4,lk,2018-09-02,t20,"Sri Lanka Super Four Provincial Twenty20 Tournament",13,2,5,2018,slsfptt-18,111538,2018-08-21
